,keypoint_coords,keypoint_scores
10,"[[75.01961366520372, 397.34644839638156], [34.95940266099087, 398.15730409759084], [36.41383228745571, 361.15361409894587], [49.20120452171148, 436.6477477151241], [64.26381967234057, 347.07503177332535], [175.6455912035565, 472.96811774586945], [165.26626338515172, 303.3149682734001], [330.3007981056391, 499.78463642905206], [327.70744004360466, 265.3515449779456], [393.71339758052386, 522.4967759419857], [361.3032338342001, 250.8569452751196], [406.84946035784344, 436.45071513344794], [411.9811716301497, 341.6399971263831], [585.6142822088198, 438.40084970282595], [575.0460001036179, 334.81463418622906], [718.7885332107544, 421.5463037810257], [707.8912313594375, 341.9505638597114]]","[0.8538680672645569, 0.8733906745910645, 0.9578002095222473, 0.5162084102630615, 0.6402548551559448, 0.2927508056163788, 0.9952071905136108, 0.9185755252838135, 0.6955139636993408, 0.959692120552063, 0.8793762922286987, 0.9824093580245972, 0.9860509634017944, 0.9497987627983093, 0.9629929065704346, 0.8862354755401611, 0.9379463195800781]"
11,"[[73.98573471779048, 385.25293231580815], [36.70716840167378, 395.6214700361188], [38.306700861731244, 361.0662695779755], [49.219999801280885, 437.4665679201555], [63.9296365782272, 345.519470506878], [177.2723906760992, 471.643210963199], [168.1097769182782, 307.5868772661857], [330.4317099992619, 504.5551340203536], [319.4842028950536, 249.8582728627766], [382.37294378945995, 513.5107480281848], [367.99213622337163, 259.0209026427931], [414.85280564773916, 422.00843044445276], [417.9118204615837, 345.09890615654905], [593.1393509354702, 433.56002004523026], [579.2932545861532, 340.2481414940939], [723.2151569543884, 410.84394975142044], [713.5574019010677, 343.630920118122]]","[0.9725605249404907, 0.8852255940437317, 0.959644079208374, 0.5315936803817749, 0.6387369632720947, 0.2698937654495239, 0.9958654046058655, 0.916912317276001, 0.8081369400024414, 0.9702119827270508, 0.8615835905075073, 0.8359993100166321, 0.9843288064002991, 0.9597347974777222, 0.9682512283325195, 0.8633838891983032, 0.9414546489715576]"
12,"[[76.09752672772075, 389.0164655475525], [35.25624714341274, 399.1421596399335], [37.570006525793744, 365.7212340432491], [49.412430962850884, 436.6005579022129], [61.05598068237305, 324.80240963292465], [173.1149050690407, 471.5567542263195], [166.0554037315901, 308.8867946789025], [330.3258416819018, 500.54067949358927], [316.7866834596146, 249.6482301556893], [401.5840547472932, 531.0099361729964], [402.43000136974246, 240.474441747346], [413.83899431450425, 421.25315981048146], [415.0288035370583, 346.13545248953346], [594.3167517462442, 430.82440097936603], [579.2323021999625, 343.1311210376794], [722.8070886966794, 402.1854031941537], [741.4055453455726, 378.057037791567]]","[0.9750107526779175, 0.8736610412597656, 0.956210732460022, 0.5129525065422058, 0.6606972217559814, 0.2869725525379181, 0.9957699775695801, 0.9184780120849609, 0.8233045935630798, 0.9720867872238159, 0.881635308265686, 0.8317544460296631, 0.9842197895050049, 0.9647170305252075, 0.9726994037628174, 0.8579802513122559, 0.6767524480819702]"
13,"[[68.65239777675895, 393.3935943859046], [34.17517214043196, 404.10696805379035], [33.87664590879928, 369.1746718119206], [42.562046006668446, 439.90679435182415], [54.56370437976926, 325.8977716619318], [174.0744973116143, 474.31733491888457], [166.6358371113622, 307.52043947648775], [330.8853287807731, 506.8864594235945], [317.676278402639, 247.19578209105862], [407.6041484655336, 529.8612136475778], [368.09882336993553, 257.5216689406399], [416.80139909234157, 433.28007602235346], [419.9484783965488, 345.72270297547846], [596.5266394947851, 430.1977305435108], [582.4862601701603, 343.6401892849133], [751.2227343182232, 421.6862874738337], [715.65840741091, 337.3705675042987]]","[0.9751497507095337, 0.869719386100769, 0.9549553990364075, 0.4496745467185974, 0.6391550898551941, 0.2626526951789856, 0.9957907199859619, 0.9168627858161926, 0.7991443276405334, 0.9702699184417725, 0.8792909979820251, 0.9832890033721924, 0.9827101230621338, 0.971865177154541, 0.9706563353538513, 0.7626457214355469, 0.9300967454910278]"
14,"[[67.25436658637469, 392.30677732440273], [35.31161889364553, 404.718407443836], [34.8206489030705, 369.6462005177183], [42.398110101389335, 442.4944338273774], [54.84320857912995, 327.20036118794854], [176.04399570198947, 475.31712290202603], [170.263905547386, 311.61730606590163], [324.48140414925507, 511.65763745467626], [317.92748260498047, 251.04096189069975], [380.68950968010483, 516.2173622532895], [374.15485266752023, 267.45466460451553], [417.05220017876735, 440.44348903820276], [419.3139568206876, 346.14920146157294], [578.8233096100563, 439.7152315714713], [579.5966308061467, 343.73187051435406], [747.1029715427132, 421.15920071396533], [742.7354121540868, 368.49727356833137]]","[0.9752626419067383, 0.8667470216751099, 0.9576531648635864, 0.44780537486076355, 0.6365358829498291, 0.2711188793182373, 0.995668351650238, 0.9277563095092773, 0.7949906587600708, 0.9715229272842407, 0.8803895711898804, 0.9879894256591797, 0.9828259944915771, 0.3676568269729614, 0.9726554155349731, 0.778643012046814, 0.6630797386169434]"
15,"[[68.97288752711097, 393.0789479342374], [36.686773255813954, 405.6220781974245], [36.06679987352948, 370.9191441878177], [43.473771383596024, 443.2073186116926], [56.158103410587756, 330.05785782371413], [171.2563643344613, 478.04052471544185], [168.45393713130508, 315.3094716049267], [324.30550703891487, 516.5375777979217], [317.53279433139534, 259.0305631354665], [374.2104039303092, 523.350526362515], [369.9802881728771, 276.9530607524671], [415.9029257574747, 442.3312947396456], [413.9489079630652, 345.6816663240132], [591.5631960491802, 426.2846527829695], [574.8528256970783, 343.8857842404306], [732.2175037916317, 401.81039034464715], [744.4944147509198, 367.9253478711872]]","[0.976299524307251, 0.8853318691253662, 0.962643027305603, 0.47568264603614807, 0.6083261966705322, 0.30264735221862793, 0.9956760406494141, 0.9267052412033081, 0.8342825770378113, 0.9754588603973389, 0.9326411485671997, 0.9894195795059204, 0.9818475246429443, 0.9751721620559692, 0.9752721190452576, 0.8768247365951538, 0.6887616515159607]"
16,"[[70.48827583845272, 396.4937423633046], [32.324448075405385, 407.81077845815264], [32.937480305516445, 369.4644471675015], [42.867296085801236, 445.9853877747458], [56.41281598113304, 336.08361057117224], [173.5258754464083, 468.0506553832424], [149.59033256353334, 300.43555446789026], [324.9877429341161, 524.0983092385616], [283.32118744073915, 286.106932425613], [384.1576355778894, 525.867125588741], [407.2344187359477, 255.04874635541267], [418.6752550823744, 445.75842752411035], [411.6912194850833, 347.1504583769438], [595.3143439625585, 437.4700139241926], [583.1986951162648, 343.40380508933913], [733.2574708129084, 402.91237571022725], [716.3692062732786, 342.7695067191238]]","[0.9746859669685364, 0.8560147285461426, 0.9510791301727295, 0.48938408493995667, 0.6116297841072083, 0.994364321231842, 0.40663719177246094, 0.9131886959075928, 0.9508556127548218, 0.9714492559432983, 0.889808177947998, 0.9881739616394043, 0.9771990776062012, 0.9721828699111938, 0.9651806354522705, 0.8411082029342651, 0.926876962184906]"
17,"[[68.90600807722225, 401.3447227660549], [30.876184862713483, 415.21820798444975], [30.855947184008222, 372.2193550949462], [41.49744521739871, 456.28695401278407], [56.94210717844409, 344.1284997383373], [173.89426040649414, 476.6360050183164], [148.95717603106831, 299.54615834797397], [329.8020429389421, 532.2873932322817], [304.1758996165076, 297.00230356608853], [394.61110838069476, 528.7999845805921], [398.49294930835106, 282.1404883279755], [425.2531494262607, 458.3933269007925], [416.18064388563465, 347.8133410586124], [609.1932611909024, 443.51410642194975], [585.0019459835319, 345.4457493832237], [743.5996710256089, 408.19230805173447], [717.8866416576298, 340.3247041109076]]","[0.9765234589576721, 0.8502880334854126, 0.9475415945053101, 0.4825599789619446, 0.6044524312019348, 0.9954547882080078, 0.400760293006897, 0.8869040012359619, 0.9394710063934326, 0.9774613380432129, 0.8394797444343567, 0.9911155700683594, 0.9709138870239258, 0.981085479259491, 0.9683239459991455, 0.8697789907455444, 0.9183214902877808]"
18,"[[59.80755588620208, 376.89099179500596], [32.038566456284634, 431.0978151166268], [33.47861303285111, 377.39118366150194], [52.29074788648029, 421.8088659259121], [58.98780077557231, 354.3060507158343], [170.50714821039244, 471.79236745149893], [146.27266338259676, 299.512130518279], [327.0137405395508, 530.7429409483403], [288.8057589863622, 271.5627686715012], [395.1713481725649, 535.3569125672847], [409.177245339682, 295.692413184061], [427.9382368298464, 457.05861652867077], [416.4103002825449, 350.31550211199163], [606.4834105025891, 445.48330498654303], [586.2927168469097, 350.3964656848086], [745.258652060531, 410.8962472431968], [718.0489462031875, 343.23250948527215]]","[0.8522428870201111, 0.900479793548584, 0.9330559968948364, 0.4209408164024353, 0.5988036394119263, 0.9917079210281372, 0.3600695729255676, 0.8608788847923279, 0.9717389345169067, 0.9559481143951416, 0.7288380861282349, 0.9892051219940186, 0.9634696245193481, 0.9745882749557495, 0.9498136043548584, 0.868245005607605, 0.9154872298240662]"
19,"[[68.69827110822811, 384.85841011886964], [34.41462929304256, 428.7839285380532], [32.99719185052916, 385.5625112433183], [53.91475074235783, 427.86416085713216], [62.27421587566997, 366.23898154810854], [170.33646641221156, 476.80694580078125], [149.041767386503, 304.2400889419483], [324.23513811688093, 533.1811727861468], [312.3955909984056, 313.06298360870215], [389.02835921354074, 534.6798895876943], [407.7398536593415, 279.69561271119915], [426.3917141127032, 467.8883704956639], [419.1458535471628, 351.01180519213517], [615.4416712605677, 444.9761232805024], [586.588509448739, 349.3390681070574], [743.5066850961641, 418.6385071676884], [716.2245411983756, 341.84626383074163]]","[0.8865751028060913, 0.866564154624939, 0.9494329690933228, 0.3487192988395691, 0.5770369172096252, 0.9932419061660767, 0.31888270378112793, 0.8897589445114136, 0.7677775025367737, 0.9600381851196289, 0.90984046459198, 0.99134361743927, 0.9468798041343689, 0.9786831736564636, 0.9524027109146118, 0.8718074560165405, 0.9123127460479736]"
20,"[[74.09506101386492, 388.2309733851675], [41.56541433999705, 435.0087318237889], [38.28010780866756, 393.92545435417213], [54.698527757511584, 430.16252873616924], [67.55786248140556, 375.58157450844794], [171.75288661690647, 482.94855437210305], [150.4369011812432, 307.30008212002843], [319.6352705844613, 533.4824674323415], [283.714212861172, 287.94677113802237], [384.7317513754202, 534.2152514297997], [416.79645423002023, 289.35605026318126], [422.7188194525796, 466.39535420248956], [413.88499676904013, 353.2405112234599], [601.8900841557703, 441.9027490935257], [584.4468648156454, 354.9369381261214], [743.4987519009169, 413.9744925613038], [717.7233513676844, 343.2211551940042]]","[0.8930112719535828, 0.9055621027946472, 0.9618005156517029, 0.3671208918094635, 0.5575879812240601, 0.9949384927749634, 0.3084813952445984, 0.9201829433441162, 0.9786186814308167, 0.978667140007019, 0.9300028681755066, 0.9938095808029175, 0.9547200202941895, 0.9810037612915039, 0.9659023284912109, 0.8791660070419312, 0.9191890954971313]"
